shape,od_in,wall_in,area_mm2,I_mm4,lb_ft,A,B,C,D
round,0.75,0.049,69.6,2772,0.367,n,n,n,n
round,0.75,0.065,90.2,3446,0.476,n,n,n,n
round,1.00,0.049,94.4,6907,0.498,n,n,Y,n
round,1.00,0.065,123.2,8726,0.650,n,Y,Y,n
round,1.00,0.083,154.3,10547,0.814,n,Y,Y,n
round,1.00,0.095,174.3,11637,0.919,Y,Y,Y,n
round,1.00,0.120,214.0,13615,1.129,Y,Y,Y,n
round,1.125,0.065,139.6,12702,0.737,n,Y,Y,n
round,1.25,0.049,119.3,13898,0.629,n,Y,Y,n
round,1.25,0.065,156.1,17732,0.824,n,Y,Y,n
round,1.25,0.095,222.4,24088,1.173,Y,Y,Y,n
round,1.375,0.049,131.7,18699,0.695,n,Y,Y,n
round,1.375,0.065,172.6,23944,0.910,n,Y,Y,n
round,1.50,0.049,144.1,24496,0.760,n,Y,Y,Y
round,1.50,0.065,189.1,31460,0.997,n,Y,Y,Y
round,1.50,0.095,270.5,43264,1.427,Y,Y,Y,Y
square,1.00,0.065,156.8,14814,0.827,n,Y,Y,n
square,1.00,0.095,221.9,19755,1.170,Y,Y,Y,n
square,1.25,0.065,198.8,30103,1.049,n,Y,Y,n
